1.0 std,2.5 std,10 std,Fire,DateTime
6,12,12,0,2024-06-29 12:45:22
6,10,10,0,2024-06-29 12:45:39
6,9,10,0,2024-06-29 12:45:56
6,9,12,0,2024-06-29 12:46:13
6,12,13,0,2024-06-29 12:46:30
4,10,10,0,2024-06-29 12:46:47
4,12,12,0,2024-06-29 12:47:07
6,10,12,0,2024-06-29 12:47:24
6,10,12,0,2024-06-29 12:47:41
6,10,10,0,2024-06-29 12:47:58
6,10,10,0,2024-06-29 12:48:15
7,12,12,0,2024-06-29 12:48:32
7,12,12,0,2024-06-29 12:48:49
7,12,12,0,2024-06-29 12:49:07
6,9,10,0,2024-06-29 12:49:24
6,9,10,0,2024-06-29 12:49:41
6,10,12,0,2024-06-29 12:49:58
6,10,13,0,2024-06-29 12:50:15
4,10,12,0,2024-06-29 12:50:33
4,9,10,0,2024-06-29 12:50:51
6,10,12,0,2024-06-29 12:51:09
6,9,10,0,2024-06-29 12:51:26
6,9,10,0,2024-06-29 12:51:43
6,10,12,0,2024-06-29 12:52:00
7,12,12,0,2024-06-29 12:52:17
7,10,12,0,2024-06-29 12:52:34
6,12,12,0,2024-06-29 12:52:51
6,12,12,0,2024-06-29 12:53:08
6,10,10,0,2024-06-29 12:53:26
6,10,10,0,2024-06-29 12:53:43
6,10,12,0,2024-06-29 12:54:00
6,10,12,0,2024-06-29 12:54:19
6,10,12,0,2024-06-29 12:54:36
6,10,13,0,2024-06-29 12:54:53
6,12,13,0,2024-06-29 12:55:11
6,10,13,0,2024-06-29 12:55:28
6,12,15,0,2024-06-29 12:55:45
7,9,13,0,2024-06-29 12:56:26
7,7,9,0,2024-06-29 12:56:43
7,12,12,0,2024-06-29 12:57:24
7,13,13,0,2024-06-29 12:57:42
6,13,13,0,2024-06-29 12:58:01
6,12,12,0,2024-06-29 12:58:18
6,12,12,0,2024-06-29 12:58:35
7,10,10,0,2024-06-29 12:58:52
6,9,9,0,2024-06-29 12:59:09
6,10,10,0,2024-06-29 12:59:26
6,10,10,0,2024-06-29 12:59:43
6,12,12,0,2024-06-29 13:00:01
6,9,12,0,2024-06-29 13:00:18
6,10,12,0,2024-06-29 13:00:35
7,12,13,0,2024-06-29 13:00:52
9,12,13,0,2024-06-29 13:01:09
7,10,10,0,2024-06-29 13:01:26
6,10,10,0,2024-06-29 13:01:46
